entity,operation,n_objects,run_index,duration_ms,mem_bytes,cpu_load,timestamp
projects,create,10,1,28.005,69107712,2.2666,2025-11-27T15:32:31.021Z
projects,create,10,1,20.019,69156864,1.5552,2025-11-27T15:37:06.189Z
projects,update,10,1,9.127,70565888,1.5552,2025-11-27T15:37:06.200Z
projects,delete,10,1,6.770,72024064,1.5552,2025-11-27T15:37:06.207Z
projects,create,10,2,9.828,73252864,1.5552,2025-11-27T15:37:06.823Z
projects,update,10,2,8.052,73220096,1.5552,2025-11-27T15:37:06.832Z
projects,delete,10,2,5.587,73285632,1.5552,2025-11-27T15:37:06.837Z
projects,create,10,3,16.411,73809920,1.5552,2025-11-27T15:37:07.461Z
projects,update,10,3,8.567,73826304,1.5552,2025-11-27T15:37:07.470Z
projects,delete,10,3,7.235,73842688,1.5552,2025-11-27T15:37:07.477Z
projects,create,10,4,22.990,73859072,1.5903,2025-11-27T15:37:08.106Z
projects,update,10,4,10.155,73859072,1.5903,2025-11-27T15:37:08.116Z
projects,delete,10,4,6.957,73859072,1.5903,2025-11-27T15:37:08.124Z
projects,create,10,5,18.214,73859072,1.5903,2025-11-27T15:37:08.752Z
projects,update,10,5,9.561,73875456,1.5903,2025-11-27T15:37:08.762Z
projects,delete,10,5,7.887,73891840,1.5903,2025-11-27T15:37:08.770Z
projects,create,50,1,49.230,74186752,1.5903,2025-11-27T15:37:09.426Z
projects,update,50,1,25.074,74760192,1.5903,2025-11-27T15:37:09.452Z
projects,delete,50,1,17.260,75710464,1.5903,2025-11-27T15:37:09.469Z
projects,create,50,2,47.167,79347712,1.5903,2025-11-27T15:37:10.124Z
projects,update,50,2,24.855,80478208,1.5903,2025-11-27T15:37:10.152Z
projects,delete,50,2,17.450,84115456,1.5903,2025-11-27T15:37:10.170Z
projects,create,50,3,43.763,97583104,1.5903,2025-11-27T15:37:10.820Z
projects,update,50,3,22.477,102072320,1.5903,2025-11-27T15:37:10.843Z
projects,delete,50,3,16.036,102088704,1.5903,2025-11-27T15:37:10.859Z
projects,create,50,4,44.928,102088704,1.5903,2025-11-27T15:37:11.511Z
projects,update,50,4,23.178,102121472,1.5903,2025-11-27T15:37:11.535Z
projects,delete,50,4,22.541,102121472,1.5903,2025-11-27T15:37:11.557Z
projects,create,50,5,42.324,102187008,1.5903,2025-11-27T15:37:12.206Z
projects,update,50,5,21.400,102301696,1.5903,2025-11-27T15:37:12.228Z
projects,delete,50,5,15.636,102318080,1.5903,2025-11-27T15:37:12.243Z
projects,create,100,1,67.124,102907904,1.7832,2025-11-27T15:37:12.917Z
projects,update,100,1,35.199,103727104,1.7832,2025-11-27T15:37:12.953Z
projects,delete,100,1,29.895,104513536,1.7832,2025-11-27T15:37:12.983Z
projects,create,100,2,58.440,106299392,1.7832,2025-11-27T15:37:13.647Z
projects,update,100,2,33.960,107495424,1.7832,2025-11-27T15:37:13.681Z
projects,delete,100,2,30.958,112623616,1.7832,2025-11-27T15:37:13.712Z
projects,create,100,3,71.027,113426432,1.7832,2025-11-27T15:37:14.390Z
projects,update,100,3,36.558,118915072,1.7832,2025-11-27T15:37:14.427Z
projects,delete,100,3,30.181,118915072,1.7832,2025-11-27T15:37:14.458Z
projects,create,100,4,60.204,121552896,1.7832,2025-11-27T15:37:15.124Z
projects,update,100,4,34.848,121569280,1.7832,2025-11-27T15:37:15.159Z
projects,delete,100,4,30.096,121585664,1.7832,2025-11-27T15:37:15.189Z
projects,create,100,5,69.064,122077184,1.7832,2025-11-27T15:37:15.863Z
projects,update,100,5,34.331,122273792,1.7832,2025-11-27T15:37:15.898Z
projects,delete,100,5,30.449,123568128,1.7832,2025-11-27T15:37:15.928Z
projects,create,200,1,90.010,125059072,1.7832,2025-11-27T15:37:16.624Z
projects,update,200,1,67.546,125059072,1.7832,2025-11-27T15:37:16.691Z
projects,delete,200,1,61.871,125059072,1.7832,2025-11-27T15:37:16.753Z
projects,create,200,2,103.465,125075456,1.7832,2025-11-27T15:37:17.462Z
projects,update,200,2,66.255,127172608,1.7832,2025-11-27T15:37:17.529Z
projects,delete,200,2,61.844,127418368,1.7832,2025-11-27T15:37:17.591Z
projects,create,200,3,98.440,137428992,1.8003,2025-11-27T15:37:18.295Z
projects,update,200,3,63.233,140017664,1.8003,2025-11-27T15:37:18.359Z
projects,delete,200,3,61.065,147226624,1.8003,2025-11-27T15:37:18.420Z
projects,create,200,4,97.422,151748608,1.8003,2025-11-27T15:37:19.123Z
projects,update,200,4,64.738,151748608,1.8003,2025-11-27T15:37:19.188Z
projects,delete,200,4,67.987,152469504,1.8003,2025-11-27T15:37:19.256Z
projects,create,200,5,98.379,154435584,1.8003,2025-11-27T15:37:19.961Z
projects,update,200,5,67.204,154468352,1.8003,2025-11-27T15:37:20.029Z
projects,delete,200,5,65.004,154468352,1.8003,2025-11-27T15:37:20.094Z
